FID,Type,Source,Verified,Name,Prefix,House_Numb,Unit_Type,Unit_Numbe,Street_Nam,Street_Typ,City,State,Zip,Stop_ID,X_Coord,Y_Coord,Lat,Lon
126,Residential Addresses,MAF Fixes, , ,SE,9900, , ,Washington,St,Portland,OR,97216.000000000000000, ,7674078.500000000000000,680970.300000000050000,45.5160468852631,-122.560159501084
127,Residential Addresses,MAF Fixes, , ,SW,12140, , ,Scholls Ferry,Rd,Tigard,OR,97223.000000000000000, ,7611593.000000000000000,656183.900000000020000,45.4434646082563,-122.801078004108
128,Residential Addresses,MAF Fixes, , ,SW,30, , ,2nd,Ave,Portland,OR,97204.000000000000000, ,7645461.000000000000000,684153.060000000060000,45.5227175873491,-122.672096641322
129,Residential Addresses,MAF Fixes, , ,SW,8205, , ,24th,Ave,Portland,OR,97219.000000000000000, ,7637138.500000000000000,663441.300000000050000,45.4653144431372,-122.702353811979
130,Residential Addresses,MAF Fixes, , ,E,524, , ,Burnside,St,Portland,OR,97214.000000000000000, ,7648522.000000000000000,684075.599999999980000,45.5227302802493,-122.660149739678
131,Residential Addresses,MAF Fixes, , ,SE,537, , ,Ash,St,Portland,OR,97214.000000000000000, ,7648506.000000000000000,683649.000000000000000,45.5215595000799,-122.660167645783
132,Residential Addresses,MAF Fixes, , ,NE,3825, , ,138th,Ave,Portland,OR,97230.000000000000000, ,7684427.140999999800000,693534.939999999940000,45.5512133160981,-122.521025698368
133,Residential Addresses,MAF Fixes, , ,NE,3502, , ,Broadway,St,Portland,OR,97232.000000000000000, ,7656859.500000000000000,688301.060000000060000,45.5349220369624,-122.628064837798
134,Residential Addresses,MAF Fixes, , ,SW,815, , ,Park,Ave,Portland,OR,97205.000000000000000, ,7643059.500000000000000,682798.699999999950000,45.5188269283319,-122.681320492011
135,Residential Addresses,MAF Fixes, , ,SE,2735, , ,Park,Ave,Milwaukie,OR,97222.000000000000000, ,7654052.500000000000000,650296.699999999950000,45.4305204773702,-122.635096342286
136,Residential Addresses,MAF Fixes, , ,SW,720, , ,Washington,St,Portland,OR,97205.000000000000000, ,7643538.254999999900000,683436.425900000030000,45.520610800929,-122.679520455791
137,Residential Addresses,MAF Fixes, , ,NE,3716, , ,Martin Luther King Jr,Blvd,Portland,OR,97212.000000000000000, ,7648503.710000000000000,693941.079999999960000,45.5497769595869,-122.661250662073
138,Residential Addresses,MAF Fixes, , ,SW,6970, , ,Beaverton Hillsdale,Hwy,Portland,OR,97225.000000000000000, ,7625596.500000000000000,671194.400000000020000,45.4856990715682,-122.748165111062
139,Residential Addresses,MAF Fixes, , ,NE,5004, , ,6th,Ave,Portland,OR,97211.000000000000000, ,7649125.000000000000000,697395.862500000050000,45.5592943862637,-122.659186665093
140,Residential Addresses,MAF Fixes, , ,SE,309, , ,129th,Ave,Portland,OR,97233.000000000000000, ,7681484.500000000000000,682340.800000000050000,45.5203188125858,-122.531410490684
141,Residential Addresses,MAF Fixes, , ,NE,2242, , ,Davis,St,Portland,OR,97232.000000000000000, ,7653116.000000000000000,684459.250000000000000,45.5241175892219,-122.642271333609
142,Residential Addresses,MAF Fixes, , ,SE,2817, , ,Park,Ave,Oak Grove,OR,97222.000000000000000, ,7654414.500000000000000,650251.000000000000000,45.4304214051037,-122.633682008482
143,Residential Addresses,MAF Fixes, , ,NE,6700, , ,59th,Pl,Portland,OR,97218.000000000000000, ,7663730.000000000000000,701556.560000000060000,45.5717580956373,-122.602607692784
144,Residential Addresses,MAF Fixes, , ,SW,14105, , ,Canyon,Rd,Beaverton,OR,97005.000000000000000, ,7606651.000000000000000,673285.939999999940000,45.4899636813299,-122.822240412104
145,Residential Addresses,MAF Fixes, , ,SE,1300, , ,Stark,St,Portland,OR,97214.000000000000000, ,7650548.500000000000000,682715.900000000020000,45.5191507053943,-122.652104455336
146,Residential Addresses,MAF Fixes, , ,SE,501, , ,14th,Ave,Portland,OR,97214.000000000000000, ,7650612.000000000000000,682723.400000000020000,45.5191759066299,-122.651857580358
147,Residential Addresses,MAF Fixes, , ,N,3500, , ,Interstate,Ave,Portland,OR,97227.000000000000000, ,7643561.000000000000000,693193.250000000000000,45.547362450512,-122.680459002875
148,Residential Addresses,MAF Fixes, , ,NE,122, , ,Broadway,St,Portland,OR,97232.000000000000000, ,7647627.000000000000000,688567.000000000000000,45.5349786118799,-122.664109858974
